iter	Passed	Remaining
838	7623	1462
839	7633	1453
840	7643	1445
841	7656	1436
842	7671	1428
843	7684	1420
844	7696	1411
845	7709	1403
846	7719	1394
847	7731	1385
848	7751	1378
849	7761	1369
850	7771	1360
851	7782	1351
852	7792	1342
853	7804	1334
854	7813	1325
855	7822	1315
856	7832	1307
857	7846	1298
858	7859	1290
859	7871	1281
860	7882	1272
861	7892	1263
862	7902	1254
863	7914	1245
864	7924	1236
865	7935	1227
866	7950	1219
867	7963	1211
868	7975	1202
869	7987	1193
870	7997	1184
871	8009	1175
872	8018	1166
873	8029	1157
874	8044	1149
875	8057	1140
876	8084	1133
877	8142	1131
878	8164	1123
879	8200	1118
880	8233	1112
881	8253	1104
882	8290	1098
883	8331	1093
884	8373	1088
885	8400	1080
886	8418	1072
887	8432	1063
888	8446	1054
889	8459	1045
890	8477	1037
891	8495	1028
892	8544	1023
893	8562	1015
894	8576	1006
895	8590	997
896	8604	988
897	8615	978
898	8627	969
899	8638	959
900	8654	950
901	8669	941
902	8680	932
903	8691	923
904	8703	913
905	8717	904
906	8727	894
907	8739	885
908	8751	876
909	8762	866
910	8777	857
911	8792	848
912	8804	838
913	8815	829
914	8826	819
915	8837	810
916	8851	801
917	8864	791
918	8873	782
919	8884	772
920	8898	763
921	8909	753
922	8920	744
923	8933	734
924	8943	725
925	8954	715
926	8966	706
927	8977	696
928	8989	687
929	9002	677
930	9017	668
931	9033	659
932	9047	649
933	9062	640
934	9075	630
935	9085	621
936	9098	611
937	9110	602
938	9123	592
939	9134	583
940	9146	573
941	9160	564
942	9176	554
943	9190	545
944	9225	536
945	9246	527
946	9260	518
947	9276	508
948	9293	499
949	9308	489
950	9330	480
951	9420	474
952	9471	467
953	9508	458
954	9548	449
955	9600	441
956	9652	433
957	9699	425
958	9740	416
959	9808	408
960	9840	399
961	9888	390
962	9909	380
963	9930	370
964	9953	361
965	9973	351
966	9995	341
967	10017	331
968	10038	321
969	10058	311
970	10092	301
971	10124	291
972	10162	281
973	10188	271
974	10200	261
975	10212	251
976	10229	240
977	10250	230
978	10266	220
979	10291	210
980	10305	199
981	10393	190
982	10436	180
983	10448	169
984	10462	159
985	10484	148
986	10514	138
987	10530	127
988	10540	117
989	10560	106
990	10576	96
991	10590	85
992	10602	74
993	10614	64
994	10627	53
995	10643	42
996	10655	32
997	10666	21
998	10677	10
999	10689	0
